COD_DEF,area_pa,LEYENDA,Cid_Cob2,TIPO,area_ha,HUMEDALES,Cod_Hum,Ambiente,SubambGeom,observacio,AGRUP,concate,OBSERV,TIPO_Code
214100,0.0,2.1.4.1. Cebolla,2.0,Humedales transformados,991.453187063196,Potencial Medio,4.0,Montaña,Depresion,,Humedales Transformados y Artificiales,Montaña*Humedales transformados*Humedales Transformados y Artificiales,,1
221100,0.0,2.2.1.1. Otros cultivos permanentes herbaceos,2.0,Humedales transformados,821.8146711980897,Humedal Permanente Bajo Dosel,2.0,Tierras bajas,Valles de grandes ríos,,Humedales Transformados y Artificiales,Tierras bajas*Humedales transformados*Humedales Transformados y Artificiales,,1
131200,0.0,1.3.1.2. Explotacion de hidrocarburos,1.0,Plantas de tratamiento en explotaciones mineras y petroleras o Lagos en canteras y excavaciones abandonadas,693.7265007694959,Humedal Permanente Bajo Dosel,2.0,Piedemonte y llanuras aluviales,Llanura aluvial fluvial y pluv,,Humedales Transformados y Artificiales,Piedemonte y llanuras aluviales*Plantas de tratamiento en explotaciones mineras y petroleras o Lagos en canteras y excavaciones abandonadas*Humedales Transformados y Artificiales,,28
222100,0.0,2.2.2.1. Otros cultivos permanentes arbustivos,2.0,Humedales transformados,672.3870569534499,Potencial Medio,4.0,Tierras bajas,Valles de grandes ríos,,Humedales Transformados y Artificiales,Tierras bajas*Humedales transformados*Humedales Transformados y Artificiales,,1
514300,0.0,5.1.4.3. Estanques para acuicultura continental,29.0,Estanques para acuicultura marina e interior,641.784516956781,Potencial Medio,4.0,Tierras bajas,Valles de grandes ríos,,Humedales Transformados y Artificiales,Tierras bajas*Estanques para acuicultura marina e interior*Humedales Transformados y Artificiales,,45
323100,0.0,3.2.3.1. Vegetacion secundaria alta,5.0,Humedales en proceso de transformación,604.6120245316284,Potencial Medio,4.0,Montaña,Superficie de aplanamiento,,Humedales Transformados y Artificiales,Montaña*Humedales en proceso de transformación*Humedales Transformados y Artificiales,,3
412000,0.0,4.1.2. Turberas,19.0,Zonas pantanosas,509.0258566439829,Humedal Permanente Abierto,1.0,Mar y costas,Planicie deltaica actual,,Humedales Sistema Costero,Mar y costas*Zonas pantanosas*Humedales Sistema Costero,,17
331300,0.0,3.3.1.3. Campos de dunas,5.0,Dunas,485.8328829548191,Humedal Permanente Abierto,1.0,Mar y costas,Planicie deltaica actual,"Sin información en el atributo Subambiente, se asigno por vecindad",Humedales Sistema Costero,Mar y costas*Dunas*Humedales Sistema Costero,"No tenia información en el atributo Ambiente, se asigno por localización",63
221200,0.0,2.2.1.2. Caña,2.0,Humedales transformados,363.93550301516814,Humedal Permanente Bajo Dosel,2.0,Tierras bajas,Valles de grandes ríos,,Humedales Transformados y Artificiales,Tierras bajas*Humedales transformados*Humedales Transformados y Artificiales,,1
141000,0.0,1.4.1. Zonas verdes urbanas,1.0,Humedales transformados,313.42782950200353,Humedal Permanente Abierto,1.0,Montaña,Valle intramontano,,Humedales Transformados y Artificiales,Montaña*Humedales transformados*Humedales Transformados y Artificiales,,1
323200,0.0,3.2.3.2. Vegetacion secundaria baja,5.0,Humedales en proceso de transformación,300.9807412887969,Potencial Medio,4.0,Montaña,Valle intramontano,,Humedales Transformados y Artificiales,Montaña*Humedales en proceso de transformación*Humedales Transformados y Artificiales,,3
131600,0.0,1.3.1.6. Explotacion de sal,1.0,Explotaciones de sal,294.391725492073,Humedal Permanente Abierto,1.0,Mar y costas,Planicie deltaica actual,,Humedales Transformados y Artificiales,Mar y costas*Explotaciones de sal*Humedales Transformados y Artificiales,,64
125000,0.0,1.2.5. Obras hidraulicas,1.0,Plantas de tratamiento de aguas urbanas,165.61650900950409,Humedal Permanente Abierto,1.0,Artificial,no aplica,,Humedales Transformados y Artificiales,Artificial*Plantas de tratamiento de aguas urbanas*Humedales Transformados y Artificiales,,52
222300,0.0,2.2.2.3. Cacao,2.0,Humedales transformados,143.06761755952363,Potencial Medio,4.0,Tierras bajas,Valles de grandes ríos,,Humedales Transformados y Artificiales,Tierras bajas*Humedales transformados*Humedales Transformados y Artificiales,,1
213100,0.0,2.1.3.1. Algodon,2.0,Humedales transformados,137.0790084240703,Potencial Medio,4.0,Tierras bajas,Valles de grandes ríos,,Humedales Transformados y Artificiales,Tierras bajas*Humedales transformados*Humedales Transformados y Artificiales,,1
224000,0.0,2.2.4. Cultivos agroforestales,2.0,Humedales transformados,116.0940203116692,Humedal Temporal,3.0,Mar y costas,Planicie fluvial,,Humedales Transformados y Artificiales,Mar y costas*Humedales transformados*Humedales Transformados y Artificiales,,1
514200,0.0,5.1.4.2. Lagunas de oxidacion,29.0,Humedales construidos para tratamiento de aguas servidas: lagunas de oxidación y/o sedimentación,47.93371924084349,Humedal Permanente Abierto,1.0,Mar y costas,Planicie fluvial,,Humedales Transformados y Artificiales,Mar y costas*Humedales construidos para tratamiento de aguas servidas: lagunas de oxidación y/o sedimentación*Humedales Transformados y Artificiales,,62
123000,0.0,1.2.3. Zonas portuarias,1.0,Humedales transformados,29.79073667992608,Humedal Temporal,3.0,Mar y costas,Planicie deltaica actual,,Humedales Transformados y Artificiales,Mar y costas*Humedales transformados*Humedales Transformados y Artificiales,,1
214200,0.0,2.1.4.2. Zanahoria,2.0,Humedales transformados,20.8265240561706,Humedal Permanente Bajo Dosel,2.0,Montaña,Depresion,,Humedales Transformados y Artificiales,Montaña*Humedales transformados*Humedales Transformados y Artificiales,,1
322210,0.0,3.2.2.2.1. Arbustal abierto esclerofilo,5.0,Arbustales inundables,19.650443896397785,Potencial Medio,4.0,Tierras bajas,Valles de grandes ríos,,Humedales Sistema Interior,Tierras bajas*Arbustales inundables*Humedales Sistema Interior,,5
132000,0.0,1.3.2. Zona de disposicion de residuos,1.0,Humedales transformados,0.244693318871813,Humedal Temporal,3.0,Mar y costas,Relieves bajos de la costa,,Humedales Transformados y Artificiales,Mar y costas*Humedales transformados*Humedales Transformados y Artificiales,,1
